"id","lei_name","lei_description","lei_image","lei_highlights","lei_location.type","lei_location.coordinates","lei_contact","lei_facebook"
2,"Bundy Boyz","Bundy Boyz refers to the Bundy Boyz Resort And Hotel, a local resort located in Brgy. Anos, Tayabas City, Philippines. It is known for offering a simple yet relaxing getaway experience. ","3853b8c5-cf37-4567-b080-37805c118373","Offerings: The primary attractions are its swimming facilities,including a regular pool,a kiddie pool,and a wave pool (which is occasionally under maintenance).,Wave Pool: A key feature mentioned in promotions,although it has been subject to maintenance closures at various times.,Multiple Pools: Even when the wave pool is unavailable,the regular and kiddie pools remain open to guests.","Point","[121.5716666505563,13.98706645538052]",,"https://www.facebook.com/share/1D17mtQgqD/ "
3,"James Gon Resort","James Gon Resort (also known as JAMES G Resort and Hotel) is an affordable, casual resort located in Barangay Dapdap, Tayabas City, Quezon Province, Philippines. It is primarily known for its accessible swimming pools and is suitable for family and group outings. The resort is a local destination perfect for various occasions such as birthdays, weddings, anniversaries, and family gatherings. It offers a relaxed atmosphere away from the city hustle, featuring basic amenities focused on recreation and events.   ","9b45c851-1c73-4243-b665-1aeabc5386b6","Swimming Pools: It features at least one large swimming pool with floaters for both adults and kids.,Event Venue: An event hall is available and ready for booking private functions and parties.,Recreational Activities: Guests can enjoy activities such as billiards and volleyball.","Point","[121.5588236760743,14.061478162961885]",,"https://www.facebook.com/share/1EQ9S3cx2t/ "
4,"Thomlyn Resort","Thomlyn Resort (also known as TomLyn Resort) is a budget-friendly resort located in Barangay Dapdap Ilaya, City of Tayabas, Quezon, Philippines. It is known for its cold water pools, which are a popular way to beat the heat, and its accommodating staff.   ","e665f479-e829-4651-b4d3-d58c9c05aca8","""The Original Bente Pool"" It is known locally as having the ""original bente pool"" (referring to a 20-peso entrance fee in the past), highlighting its reputation as an accessible and popular local spot.,Refreshing Water Guests frequently mention the water temperature, noting how cold and refreshing it is.,No On-site Restaurant According to current information, the resort does not have an on-site restaurant, suggesting guests may need to bring their own food or dine elsewhere.","Point","[121.55874303796558,14.060355756773593]",,"https://www.facebook.com/share/1CBaLAAP24/ "
5,"Edelyn Resort","Edelyn Resort, often locally known as ""Bente Pool,"" is a budget-friendly family getaway located in Barangay Dapdap Ilaya, Tayabas City, Quezon, Philippines. It is known for its cool, refreshing spring water sourced from Mount Banahaw and scenic views of the surrounding rice terraces.   ","6205d970-9e2c-46a1-b027-1a891233e7c6","Affordable Pricing: The resort is well-regarded for its low entrance fee, typically around ₱20, making it an accessible option for quick swimming trips and family bonding.,Scenic Location: Guests can enjoy a relaxing atmosphere with a breathtaking view of Mt. Banahaw and the local rice terraces. The climate is described as cool and pleasant.,Cottages and Halls: Various tables, cottages, and event halls are available for rent, accommodating different group sizes from small families to large parties.,Food and Drink: There are on-site sari-sari stores and food stalls, and the resort allows guests to bring their own alcohol and use the grilling stations with no corkage fee.","Point","[121.56008979660189,14.059296940665591]",,"https://www.facebook.com/share/17rjvcC9FS/ "
6,"Twin Peaks Mountain Resort","Twin Peaks Mountain Resort in Tayabas City is a private, newly established resort nestled against the backdrop of Mount Banahaw and Mount Cristobal, offering a serene escape from city life with a good ambiance and fresh air. It is well-maintained and ideal for family gatherings, team building, or a relaxing weekend getaway. ","2b9d40c8-7968-4fe2-a3bb-aec640b9817a","Stunning Views: The resort provides a spectacular view of the surrounding mountains, including Mt. Banahaw and Mt. Cristobal.,Natural Water Source: The private pools are supplied by fresh, clean spring water from the mountains.","Point","[121.56638531483584,14.056072774889586]",,"https://www.facebook.com/share/1DYo98wA1t/ "
7,"Casa Melan","Casa Melan is a private resort in Tayabas City, Quezon, offering a peaceful, nature-filled escape for families and friends, highlighted by its relaxing amenities like a Kawa hot bath, private pool, bonfire area for s'mores, and karaoke for intimate gatherings, perfect for bonding away from city noise. It's known for its cozy ambiance, blending nature with comfort for staycations and memorable moments.   ","facdc83a-4dd9-4fa1-85aa-5cbe047b056b","Kawa Hot Bath: A unique, large cauldron bath for relaxing soaks.,Private Pool: For refreshing dips.,Bonfire Area: Perfect for roasting s'mores and enjoying evenings.,Nature Setting: A blend of comfort and natural surroundings for unwinding.,Cozy Rooms: Comfortable accommodations for guests.,Karaoke: Cozy setup for singing and fun.","Point","[121.58510830203664,14.041448043468073]",,"https://www.facebook.com/share/1642nJc6b8/ "
8,"Graceland Estates & Country Club","Graceland Estates & Country Club in Tayabas, Quezon, is a serene, nature-inspired resort offering a tranquil escape with a blend of relaxation and adventure activities. The resort is named as a nod to Elvis Presley's mansion, with areas like the Memphis Cafe & Grille reflecting this theme. Graceland is an expansive 11-hectare development designed to complement the natural landscape, with views of Mount Banahaw. The accommodations, including hotel-style apartelle rooms and two-story villas, feature an ""old-world charm"" with local hardwood accents and balconies to enjoy the scenery.  ","e7b00e71-9b0a-494a-8db3-196507f0e7b4","Outdoor Activities: The expansive grounds offer jogging and biking paths, a children's playground, horseback riding, and a deer farm.,Sports Facilities: Guests can use two swimming pools, a putting green for golf, and courts for basketball, tennis, and simulated beach volleyball.,Adventure Camp: For team-building or thrill-seekers, there are facilities for rope courses, a zip line, and a wall climb (availability may vary).","Point","[121.58586969896338,14.039085527160411]",,"https://www.facebook.com/share/1AzzV8k4hA/ "
9,"Nawawalang Paraiso Resort & Hotel","Nawawalang Paraiso Resort & Hotel, often called ""The Lost Paradise,"" is a tranquil retreat nestled at the foot of Mount Banahaw in Tayabas City, Quezon Province. Known for its refreshing ambiance and natural surroundings, it offers a relaxing escape for families and groups. The resort is set in a lush, natural environment and features multiple outdoor swimming pools fed by fresh, free-flowing mineral water from the mountain. The accommodations range from simple cottages and cabana rooms to hotel suites and large dormitories, catering to various group sizes and needs. The property also features decorative animal statues and offers scenic views of the surrounding landscapes. ","1d49a8db-c1c9-4423-a76d-62a1fb267f20","Natural Water Pools: Guests can enjoy swimming in pools filled with natural, chemical-free mineral water, which many find very refreshing.,Event Venues: Nawawalang Paraiso is a popular venue for various events, such as weddings, corporate seminars, and parties, with versatile indoor and outdoor spaces.,Scenic Location: The resort's primary appeal is its location at the base of the mystic Mt. Banahaw, offering a serene atmosphere and fresh mountain air.","Point","[121.57157378163745,14.048585005511756]",,"https://www.facebook.com/share/18D2koE6JN/ "
10,"Mariposa Spring Resort","Mariposa Spring Resort in Tayabas is a simple, budget-friendly local resort known for its very cold, fresh, spring-fed swimming pools. It offers a relaxing, nature-filled escape suitable for family day trips. Located in a quiet area of the City of Tayabas, Quezon province, Mariposa Spring Resort is a no-frills destination focused on providing a natural swimming experience. The primary draw for visitors is the exceptionally cool water that comes directly from a natural spring, which locals describe as ""sobrang presko"" (very fresh/cold), even during midday heat.  

The resort is designed for day tours and quick getaways and is considered good for children. It maintains a simple, local atmosphere. Be aware that the resort does not have an on-site restaurant, so guests should plan to bring their own food and beverages. ",,"Natural Spring Water: The main highlight is the clean, constantly running, and very cold water in all the pools.,Affordable Pricing: As of early 2024, the entrance fee was approximately 70 pesos per adult or child, making it an accessible option for budget-conscious groups.,Relaxing Atmosphere: The resort offers a simple, peaceful natural setting away from the hustle and bustle of the city.,Family-Friendly: The environment and facilities are suitable for family outings and children.","Point","[121.5815815393101,14.038551662779174]",,
11,"Villa Juliana Resort","Villa Juliana Resort is a cozy and affordable family resort and event venue located in the heart of Tayabas City, Quezon Province. It is known for its serene atmosphere and is easily accessible for travelers coming from nearby areas like Manila.  Location: The resort is conveniently situated right in the center of Tayabas City, making it a great ","b408170a-cad0-4856-a535-c49cc7acd69a","Amenities: It features a swimming pool, comfortable hotel/dorm-style rooms, spacious parking, and venue spaces suitable for various events.,Event Hosting: Villa Juliana Resort is well-equipped to accommodate a range of events, including weddings, parties, family reunions, and large group gatherings. They also offer affordable food catering packages through their on-site ""Chill Out Shack"".,Atmosphere & Vibe: Guests often describe the place as warm, cozy, and ideal for family bonding and relaxation. It provides a basic yet satisfying experience for those seeking a quiet getaway.","Point","[121.5906625644371,14.02711438261898]",,"https://www.facebook.com/share/1MeJWCNQu4/"
