"id","res_name","res_description","res_image","res_highlights","res_location.type","res_location.coordinates","res_contact","res_facebook"
11,"Cornelia's Plate","Cornelia's Plate is a local favorite restaurant in Tayabas, Quezon, celebrated for its authentic, home-style Quezon cuisine served in a charming setting that some describe as having a ""La Cathedral Cafe feels"". It is praised for offering delicious and affordable food with a special emphasis on presentation (""beautifully plated"") ","4704ed97-8983-4310-a5a3-1172754fb015","","Point","[121.59217857337273,14.026556238278799]","0915 817 5923","https://www.facebook.com/share/1BycXao44V/ "
12,"Bogi's Restaurant","Bogi's is a popular restaurant in Tayabas City, Quezon, known for serving a blend of Asian dishes and Filipino staple foods in a vibrant, rustic atmosphere. It is a favored spot for both locals and visitors exploring the historic town. Bogi's main branch is located at a street corner near the center of town, specifically on Legaspi St. beside the Minor Basilica of St. Michael the Archangel. The interior of the restaurant has a distinct, rustic vibe, featuring a second floor with a mural of farm folks that adds to the local charm. It operates for dine-in, take-out, and delivery services, with current hours generally from 11 am to 8 pm. ","4ea3abef-a955-4bc7-98f8-ee76b66012fa","Katsudon,Tofu Ala King,Ceasar Salad,Bogi's Ramen","Point","[121.59221082543401,14.026468476568787]","0915 005 0008","https://www.facebook.com/share/1CrbRKgZ3L/ "
14,"Rodillas Restaurant","Rodillas Restaurant in Tayabas, Quezon, is a long-standing (since 1948) local institution famous for its iconic, creamy, melt-in-your-mouth Yema Cake, a must-try heritage dessert, but it also offers Filipino cuisine in its restaurant, a dedicated commissary for its famous cakes, and event hosting via its Pamana Hall, blending tradition with modern Filipino tastes.   ","cb2d5aa9-65e1-4945-8ff5-dc2eafdc1258","Original Yema Cake,Pancit Habhab,Lucban Longganisa,Cheesecake and Brownies,Home-style Filipino meals","Point","[121.59339024365308,14.025779094972744]","0962 046 0788","https://www.facebook.com/TheRodillasRestaurant"
15,"Cafe 62","Cafe 62 is a popular, cozy local hangout spot in Tayabas City, known for its selection of coffee and varied menu that includes pasta, quesadillas, and more. A highlight is its ""Your Favourite Hangout Place In Town"" atmosphere, attracting both locals and visitors ","8046cb7b-d248-4af3-9000-5cd742721aa6","Cafe 62 Special,Caramel Macchiato,Matcha Latte,Strawberry Milk","Point","[121.59231782025526,14.02452855807951]","0995 851 6068","https://www.facebook.com/share/1BjjfkBRBn/ "
16,"Ninong's Restaurant","Ninong's Restaurant in Tayabas City is a family-friendly establishment known for serving hearty, quality Filipino dishes in a unique and relaxed setting. It is a popular local favorite that has been recognized for offering some of the best silog (Filipino breakfast meals) and other classic regional specialties in Quezon Province. Cuisine & Focus: The restaurant specializes in Filipino comfort food, with a focus on all-day breakfast options (silog), Pata (crispy pork leg), and Bulalo (beef shank soup). They are known for providing generous and satisfying meals in a casual, family-oriented environment. ","b7e46294-6d61-4e4c-9aea-a52e7bf06ef9","Crispy Pata,Bulalo,Silog Meals,Sinigang na Hipon,Ninong's Fried Chicken,Pancit,Brick Smoke Sisig,Ube Halo-Halo","Point","[121.5990924490917,14.019946671282028]"," 0933 456 2818","https://www.facebook.com/ninongsrestaurant"
17,"Bellepat Restaurant","Bellepat Restaurant in Tayabas is a cozy, aesthetically pleasing spot known for its shareable, flavorful Filipino-inspired dishes, great ambiance (especially at night), wide tea selection, and good value, perfect for casual family or barkada meals, offering indoor/outdoor seating and delivery/pickup options for a homey dining experience.   ","5b78c5f9-187f-406f-9a25-b76a38a922bc","Binagoongan Rice,Tinapa Pasta,Bone in Pork Chop,Bellepat Burger & Chef's Salad","Point","[121.5988088972371,14.019529895817184]",,"https://www.facebook.com/share/17TnSRaJBW/ "
18,"Jonas Halo Halo","Jonas Halo Halo is a popular local restaurant in Tayabas City, Quezon, best known for its signature creamy halo-halo. It has become a must-visit spot for both locals and tourists looking to cool down, praised for its generous servings and unique creamy consistency. ","e1c9c770-b764-435b-b12e-80cd17bf3fd5","Creamy Halo-Halo,Buko Juice","Point","[121.61466965650946,14.01180480753033]"," 0920 692 7182","https://www.facebook.com/jonascreamyhalohalo"
19,"Alfresco Jardin Restaurant","Alfresco Jardin Restaurant is a casual and cozy dining spot in Tayabas City, Quezon, known for its relaxing garden setting and authentic Filipino cuisine. It provides a peaceful, outdoor dining experience (al fresco) suitable for families, groups, or casual dates. The restaurant is located along the Tayabas - Pagbilao Road and offers a unique dining experience characterized by its lush, natural surroundings and relaxed atmosphere. Reviewers often praise the combination of a beautiful setting, good music, and friendly, accommodating staff. It is an ideal place to enjoy a meal away from the hustle and bustle, with amenities like free parking, Wi-Fi, and a restroom. ","d363fa81-c3c7-4128-85e4-64f7f3fb0e50","Sinigang,Sisig,Kare Kare","Point","[121.62500349512774,14.009647851486328]",,"https://www.facebook.com/share/1APigBdvN8/ "
20,"Simeng's Halo Halo","Simeng's Halo Halo is a popular local restaurant located in Brgy. Lakawan, Tayabas City, Quezon, best known for its creamy, finely shaved ice halo-halo and other Filipino dishes. ","9272700e-c2b7-4cff-ad78-01860bc1df53","Special or Overload Halo-Halo,Lomi,Pansit,Crispy Liempo,Palabok","Point","[121.6270412714681,14.008963475455602]","(042795) 5340","https://www.facebook.com/nanaysimenghalohalo"
21,"Juan's Famous Buko de Halo-Halo","Juan's Famous Buko de Halo-Halo is a highly recommended dining spot and a popular local delicacy destination located in Tayabas City, Quezon Province. It is well-known for offering a unique and authentic Filipino merienda (midday snack) experience in a relaxing, ""very instagrammable"" provincial setting with native huts (kubos).  

The signature dessert is a must-try ""Special Buko de Halo-Halo,"" celebrated for its delicious taste, perfect level of sweetness, and distinct presentation. ","d05a8c3e-0967-4cce-aee5-748185600579","Beyond Dessert: While famous for its halo-halo,Chicken Inasal,Halo-halo in Buko,Crispy Liempo Kare-kare,Seafood Minuraan,Pancit Habhab,Sisig","Point","[121.63079175465482,14.006828722567974]","(042) 784 7080","https://www.facebook.com/juansfamousbuko"
